Epoch: 0/20
2024-07-16 00:30:03.101680 Epoch: 0/20, Batch: 219/375, reward: 0.765, loss: 0.004, time_cost:12.038
2024-07-16 00:30:12.464493 Epoch: 0/20, Batch: 220/375, reward: 0.660, loss: 0.002, time_cost:9.341
2024-07-16 00:30:24.895014 Epoch: 0/20, Batch: 221/375, reward: 0.891, loss: -0.008, time_cost:12.360
2024-07-16 00:30:34.351458 Epoch: 0/20, Batch: 222/375, reward: 0.833, loss: 0.004, time_cost:9.429
2024-07-16 00:30:47.729818 Epoch: 0/20, Batch: 223/375, reward: 0.857, loss: -0.002, time_cost:13.352
2024-07-16 00:30:56.451544 Epoch: 0/20, Batch: 224/375, reward: 0.787, loss: -0.009, time_cost:8.691
2024-07-16 00:31:08.493351 Epoch: 0/20, Batch: 225/375, reward: 0.611, loss: 0.001, time_cost:12.019
2024-07-16 00:31:17.846437 Epoch: 0/20, Batch: 226/375, reward: 0.823, loss: 0.004, time_cost:9.333
2024-07-16 00:31:28.412353 Epoch: 0/20, Batch: 227/375, reward: 0.873, loss: -0.060, time_cost:10.535
2024-07-16 00:31:38.618424 Epoch: 0/20, Batch: 228/375, reward: 0.869, loss: 0.005, time_cost:10.137
2024-07-16 00:31:49.087786 Epoch: 0/20, Batch: 229/375, reward: 0.836, loss: 0.099, time_cost:10.434
2024-07-16 00:31:55.232006 Epoch: 0/20, Batch: 230/375, reward: 0.593, loss: 0.010, time_cost:6.123
2024-07-16 00:32:05.346774 Epoch: 0/20, Batch: 231/375, reward: 0.616, loss: -0.093, time_cost:10.091
